iter	Passed	Remaining
0	56	56556
1	57	28648
2	58	19330
3	58	14669
4	59	11867
5	60	10027
6	61	8691
7	61	7685
8	62	6898
9	63	6285
10	64	5766
11	65	5353
12	65	4992
13	66	4681
14	67	4411
15	67	4179
16	68	3968
17	69	3784
18	70	3620
19	70	3469
20	71	3348
21	72	3223
22	73	3117
23	74	3014
24	74	2919
25	75	2831
26	76	2749
27	77	2700
28	78	2636
29	79	2573
30	80	2508
31	81	2452
32	81	2397
33	82	2347
34	83	2297
35	84	2249
36	84	2208
37	85	2168
38	86	2129
39	87	2089
40	87	2055
41	88	2019
42	89	1986
43	90	1958
44	90	1930
45	91	1900
46	92	1874
47	93	1848
48	93	1822
49	95	1809
50	96	1786
51	96	1763
52	97	1744
53	98	1725
54	99	1704
55	99	1685
56	100	1667
57	101	1649
58	102	1630
59	102	1611
60	103	1595
61	104	1580
62	105	1567
63	106	1552
64	106	1536
65	107	1522
66	108	1509
67	109	1495
68	109	1480
69	110	1467
70	111	1455
71	112	1445
72	112	1433
73	113	1422
74	114	1412
75	115	1401
76	116	1391
77	116	1381
78	117	1370
79	118	1360
80	118	1347
81	119	1337
82	120	1328
83	120	1317
84	121	1307
85	122	1297
86	122	1289
87	123	1280
88	124	1272
89	125	1265
90	125	1256
91	126	1248
92	127	1241
93	128	1236
94	128	1228
95	129	1221
96	130	1214
97	131	1208
98	131	1200
99	132	1193
100	133	1186
101	134	1179
102	134	1173
103	135	1169
104	136	1164
105	137	1159
106	138	1153
107	138	1146
108	139	1140
109	140	1134
110	140	1128
111	141	1122
112	142	1116
113	143	1112
114	143	1107
115	144	1101
116	145	1095
117	145	1090
118	146	1084
119	147	1080
120	148	1075
121	148	1069
122	149	1064
123	150	1060
124	150	1056
125	151	1053
126	152	1047
127	153	1043
128	153	1038
129	154	1034
130	155	1030
131	155	1025
132	156	1021
133	157	1016
134	157	1011
135	158	1006
136	159	1003
137	160	999
138	160	995
139	161	990
140	161	986
141	162	982
142	163	977
143	163	973
144	164	969
145	165	966
146	165	962
147	166	958
148	167	955
149	167	951
150	168	947
151	169	943
152	169	939
153	170	935
154	170	931
155	171	927
156	172	924
157	172	920
158	173	916
159	173	913
160	174	910
161	175	908
162	176	905
163	176	902
164	177	898
165	178	896
166	179	894
167	179	891
168	180	888
169	181	885
170	182	883
171	182	880
172	183	878
173	184	875
174	185	872
175	185	869
176	186	866
177	187	864
178	187	861
179	188	858
180	189	856
181	189	853
182	190	851
183	191	849
184	192	847
185	193	845
186	194	843
187	194	841
188	195	838
189	196	836
190	196	833
191	197	831
192	198	829
193	199	827
194	200	825
195	200	823
196	201	821
197	202	818
198	202	816
199	203	813
200	204	811
201	204	809
202	206	808
203	206	807
204	207	805
205	208	803
206	209	801
207	209	799
208	210	797
209	211	795
210	212	792
211	212	790
212	213	789
213	214	787
214	215	785
215	216	784
216	216	782
217	217	780
218	218	778
219	218	776
220	219	774
221	220	772
222	221	770
223	221	768
224	222	766
225	223	765
226	224	763
227	224	761
228	225	759
229	226	757
230	227	755
231	227	753
232	228	752
233	229	750
234	230	749
235	230	747
236	231	745
237	232	743
238	232	741
239	233	740
240	234	738
241	235	736
242	235	734
243	236	733
244	237	731
245	238	729
246	238	728
247	239	726
248	240	725
249	241	723
250	242	722
251	242	720
252	243	718
253	244	716
254	244	715
255	245	713
256	246	712
257	247	711
258	248	709
259	248	707
260	249	705
261	250	704
262	250	702
263	251	701
264	252	699
265	252	697
266	253	696
267	254	694
268	254	692
269	255	691
270	256	690
271	257	688
272	257	686
273	258	685
274	259	683
275	260	682
276	260	680
277	261	679
278	262	678
279	263	677
280	264	675
281	264	674
282	265	672
283	266	671
284	267	670
285	267	668
286	268	667
287	269	666
288	270	664
289	271	663
290	271	662
291	272	660
292	273	658
293	273	657
294	274	655
295	275	654
296	275	653
297	276	651
298	277	649
299	277	648
300	278	646
301	279	645
302	280	644
303	280	643
304	281	641
305	282	640
306	283	638
307	283	637
308	284	636
309	285	635
310	285	633
311	286	632
312	287	630
313	288	629
314	288	627
315	289	626
316	289	624
317	290	623
318	291	622
319	292	620
320	292	619
321	293	617
322	294	616
323	294	615
324	295	613
325	296	612
326	297	611
327	298	610
328	298	609
329	299	607
330	300	606
331	300	605
332	301	604
333	302	603
334	303	602
335	304	601
336	305	600
337	305	598
338	306	597
339	307	596
340	307	595
341	308	593
342	309	592
343	309	591
344	310	589
345	311	589
346	312	587
347	312	586
348	313	585
349	314	583
350	314	582
351	315	581
352	316	579
353	317	578
354	317	577
355	318	576
356	319	575
357	320	574
358	321	573
359	321	572
360	322	571
361	323	569
362	323	568
363	324	567
364	325	565
365	325	564
366	326	563
367	327	562
368	328	561
369	328	559
370	329	558
371	330	557
372	330	556
373	331	554
374	331	553
375	332	551
376	333	550
377	334	549
378	334	548
379	335	547
380	336	546
381	337	545
382	338	544
383	339	543
384	339	542
385	340	541
386	341	540
387	341	539
388	342	538
389	343	537
390	344	536
391	345	535
392	346	534
393	346	533
394	347	532
395	348	531
396	349	530
397	349	529
398	350	527
399	351	526
400	352	525
401	352	524
402	353	523
403	354	522
404	355	521
405	355	520
406	356	519
407	357	518
408	358	517
409	358	516
410	359	515
411	360	514
412	361	513
413	361	512
414	362	510
415	363	509
416	363	508
417	364	507
418	365	506
419	365	505
420	366	504
421	367	503
422	368	502
423	369	501
424	369	500
425	370	499
426	371	498
427	371	497
428	372	496
429	373	494
430	374	494
431	375	493
432	375	492
433	376	491
434	377	489
435	377	488
436	378	487
437	379	486
438	379	485
439	380	484
440	381	483
441	382	482
442	382	481
443	383	480
444	384	479
445	384	478
446	385	477
447	386	476
448	387	475
449	388	474
450	388	473
451	389	472
452	390	471
453	390	470
454	391	469
455	392	468
456	393	467
457	394	466
458	394	465
459	395	464
460	396	463
461	397	462
462	397	461
463	398	460
464	399	459
465	400	458
466	400	457
467	401	456
468	402	455
469	403	454
470	403	453
471	404	452
472	405	451
473	405	450
474	406	449
475	407	448
476	408	447
477	409	446
478	409	445
479	410	444
480	411	443
481	411	442
482	412	441
483	413	440
484	414	439
485	414	438
486	415	437
487	416	436
488	416	435
489	417	434
490	418	433
491	419	432
492	419	431
493	420	430
494	421	429
495	422	428
496	422	428
497	423	427
498	424	426
499	425	425
500	425	424
501	426	423
502	427	422
503	427	420
504	428	419
505	429	419
506	429	418
507	430	417
508	431	416
509	432	415
510	432	414
511	433	413
512	434	412
513	435	411
514	435	410
515	436	409
516	437	408
517	437	407
518	438	406
519	439	405
520	440	404
521	441	403
522	441	402
523	442	401
524	443	401
525	443	400
526	444	399
527	445	398
528	446	397
529	447	396
530	447	395
531	448	394
532	449	393
533	449	392
534	450	391
535	451	390
536	452	389
537	452	388
538	453	387
539	454	386
540	454	385
541	455	385
542	456	384
543	457	383
544	457	382
545	458	381
546	459	380
547	460	379
548	460	378
549	461	377
550	462	376
551	463	375
552	464	375
553	464	374
554	465	373
555	466	372
556	466	371
557	467	370
558	468	369
559	469	368
560	469	367
561	470	366
562	471	365
563	472	365
564	473	364
565	473	363
566	474	362
567	475	361
568	476	360
569	476	359
570	477	358
571	478	358
572	479	357
573	479	356
574	480	355
575	481	354
576	482	353
577	483	352
578	483	351
579	484	350
580	485	349
581	485	348
582	486	348
583	487	347
584	488	346
585	488	345
586	489	344
587	490	343
588	490	342
589	491	341
590	492	340
591	493	339
592	493	338
593	494	337
594	495	337
595	495	336
596	496	335
597	497	334
598	498	333
599	498	332
600	499	331
601	500	330
602	501	330
603	501	329
604	502	328
605	503	327
606	504	326
607	505	325
608	505	324
609	506	323
610	507	322
611	507	322
612	508	321
613	509	320
614	510	319
615	510	318
616	511	317
617	512	316
618	512	315
619	513	314
620	514	313
621	515	313
622	515	312
623	517	311
624	517	310
625	518	309
626	519	309
627	520	308
628	521	307
629	521	306
630	522	305
631	523	304
632	524	303
633	524	302
634	525	302
635	526	301
636	527	300
637	527	299
638	528	298
639	529	297
640	529	296
641	530	295
642	531	294
643	531	293
644	532	293
645	533	292
646	533	291
647	534	290
648	535	289
649	536	288
650	536	287
651	537	286
652	538	286
653	539	285
654	539	284
655	540	283
656	541	282
657	541	281
658	542	280
659	543	279
660	544	279
661	544	278
662	545	277
663	546	276
664	546	275
665	547	274
666	548	273
667	548	272
668	549	271
669	550	271
670	550	270
671	551	269
672	552	268
673	553	267
674	554	266
675	554	265
676	555	265
677	556	264
678	557	263
679	557	262
680	558	261
681	559	260
682	559	259
683	560	259
684	561	258
685	562	257
686	562	256
687	563	255
688	564	254
689	565	253
690	565	253
691	566	252
692	567	251
693	568	250
694	569	249
695	569	248
696	570	248
697	571	247
698	572	246
699	572	245
700	573	244
701	574	243
702	574	242
703	575	242
704	576	241
705	577	240
706	578	239
707	578	238
708	579	237
709	580	236
710	580	236
711	581	235
712	582	234
713	583	233
714	584	232
715	585	232
716	585	231
717	586	230
718	587	229
719	587	228
720	588	227
721	589	226
722	590	226
723	590	225
724	591	224
725	592	223
726	593	222
727	593	221
728	594	221
729	595	220
730	596	219
731	596	218
732	597	217
733	598	216
734	599	216
735	599	215
736	600	214
737	601	213
738	602	212
739	603	211
740	603	211
741	604	210
742	605	209
743	606	208
744	606	207
745	607	206
746	608	205
747	608	205
748	609	204
749	610	203
750	611	202
751	611	201
752	612	200
753	613	200
754	614	199
755	614	198
756	615	197
757	616	196
758	616	195
759	617	195
760	618	194
761	619	193
762	619	192
763	620	191
764	621	190
765	621	189
766	622	189
767	623	188
768	623	187
769	624	186
770	625	185
771	626	184
772	626	184
773	627	183
774	628	182
775	628	181
776	629	180
777	630	179
778	630	178
779	631	178
780	632	177
781	632	176
782	633	175
783	634	174
784	634	173
785	635	173
786	636	172
787	637	171
788	637	170
789	638	169
790	639	168
791	639	168
792	640	167
793	641	166
794	642	165
795	642	164
796	643	163
797	644	163
798	644	162
799	645	161
800	646	160
801	647	159
802	647	158
803	648	158
804	649	157
805	650	156
806	651	155
807	652	155
808	653	154
809	653	153
810	654	152
811	655	151
812	656	150
813	656	150
814	657	149
815	658	148
816	659	147
817	659	146
818	660	145
819	661	145
820	661	144
821	662	143
822	663	142
823	663	141
824	664	140
825	665	140
826	665	139
827	666	138
828	667	137
829	668	136
830	668	136
831	669	135
832	670	134
833	671	133
834	672	132
835	672	132
836	673	131
837	674	130
838	675	129
839	675	128
840	676	127
841	677	127
842	677	126
843	678	125
844	679	124
845	680	123
846	680	122
847	681	122
848	682	121
849	682	120
850	683	119
851	684	118
852	684	118
853	685	117
854	686	116
855	687	115
856	687	114
857	688	113
858	689	113
859	689	112
860	690	111
861	691	110
862	692	109
863	693	109
864	693	108
865	694	107
866	695	106
867	696	105
868	696	105
869	697	104
870	698	103
871	699	102
872	700	101
873	701	101
874	701	100
875	702	99
876	703	98
877	703	97
878	704	96
879	705	96
880	705	95
881	706	94
882	707	93
883	708	92
884	708	92
885	709	91
886	710	90
887	711	89
888	711	88
889	712	88
890	713	87
891	713	86
892	714	85
893	715	84
894	716	84
895	716	83
896	717	82
897	718	81
898	718	80
899	719	79
900	720	79
901	720	78
902	721	77
903	722	76
904	723	75
905	723	75
906	724	74
907	725	73
908	725	72
909	726	71
910	727	71
911	728	70
912	728	69
913	729	68
914	730	67
915	731	67
916	731	66
917	732	65
918	733	64
919	734	63
920	734	63
921	735	62
922	736	61
923	736	60
924	737	59
925	738	58
926	738	58
927	739	57
928	740	56
929	741	55
930	741	54
931	742	54
932	743	53
933	744	52
934	745	51
935	746	51
936	746	50
937	747	49
938	748	48
939	749	47
940	749	47
941	750	46
942	751	45
943	752	44
944	752	43
945	753	43
946	754	42
947	755	41
948	755	40
949	756	39
950	757	39
951	757	38
952	758	37
953	759	36
954	760	35
955	760	35
956	761	34
957	762	33
958	763	32
959	763	31
960	764	31
961	765	30
962	765	29
963	766	28
964	767	27
965	768	27
966	768	26
967	769	25
968	770	24
969	771	23
970	771	23
971	772	22
972	773	21
973	774	20
974	774	19
975	775	19
976	776	18
977	776	17
978	777	16
979	779	15
980	780	15
981	780	14
982	781	13
983	782	12
984	783	11
985	784	11
986	784	10
987	785	9
988	786	8
989	786	7
990	787	7
991	788	6
992	789	5
993	789	4
994	790	3
995	791	3
996	792	2
997	792	1
998	793	0
999	794	0
