iter	RMSE
0	112.8057613
1	109.9638262
2	107.4359932
3	104.883603
4	102.4915004
5	100.0575277
6	98.00144446
7	96.03890203
8	94.23895976
9	92.35437238
10	90.57698174
11	89.03763097
12	87.60766472
13	85.95139798
14	84.45519398
15	83.03698439
16	81.67262266
17	80.33586396
18	79.23481076
19	78.10036269
20	77.04315449
21	75.9564301
22	75.06112566
23	74.13638873
24	73.23125601
25	72.37728339
26	71.67311854
27	70.95516056
28	70.22076639
29	69.48424173
30	68.73676595
31	68.11121145
32	67.48332981
33	66.91870058
34	66.38968007
35	65.84597136
36	65.32174204
37	64.84554571
38	64.34041448
39	63.91311913
40	63.49002386
41	63.09850867
42	62.6760163
43	62.29379742
44	61.96680025
45	61.61279077
46	61.27062688
47	61.02154585
48	60.70062469
49	60.42654948
50	60.17088386
51	59.94017549
52	59.67374522
53	59.39252988
54	59.19950909
55	59.01176141
56	58.80925917
57	58.65559669
58	58.45846118
59	58.25804462
60	58.09841279
61	57.9780222
62	57.82398099
63	57.68754668
64	57.55195501
65	57.42969147
66	57.28655295
67	57.10792577
68	57.01745379
69	56.85813901
70	56.74456195
71	56.59526183
72	56.46648033
73	56.34075462
74	56.29280583
75	56.18395182
76	56.05080958
77	55.94612782
78	55.82084904
79	55.7262828
80	55.61360571
81	55.53580923
82	55.41591559
83	55.3039207
84	55.20991165
85	55.1198769
86	55.04802157
87	55.00665799
88	54.9236769
89	54.83502926
90	54.80301919
91	54.72716746
92	54.6747659
93	54.60350018
94	54.5391565
95	54.44116733
96	54.35816426
97	54.2935578
98	54.20356589
99	54.11088662
100	54.06715747
101	54.00430775
102	53.93496167
103	53.86620723
104	53.80780172
105	53.74534231
106	53.70799474
107	53.67469911
108	53.60082715
109	53.55191835
110	53.49469877
111	53.43207481
112	53.37762544
113	53.3319631
114	53.26989996
115	53.22615121
116	53.15543771
117	53.13066607
118	53.08673406
119	53.03236526
120	52.99379214
121	52.93588369
122	52.92557987
123	52.88297145
124	52.85123843
125	52.79901115
126	52.75485551
127	52.72074499
128	52.69300463
129	52.64110963
130	52.60973224
131	52.579941
132	52.55547215
133	52.50137734
134	52.45787431
135	52.40840948
136	52.35305675
137	52.32650717
138	52.29598082
139	52.28890387
140	52.25253679
141	52.20863089
142	52.17410001
143	52.13176703
144	52.11032541
145	52.07746558
146	52.0385458
147	51.99310883
148	51.9387461
149	51.88432684
150	51.83376111
151	51.78268596
152	51.74958121
153	51.70747914
154	51.65901755
155	51.62807838
156	51.59405765
157	51.56256986
158	51.52921407
159	51.48882815
160	51.44746137
161	51.41635997
162	51.38459666
163	51.35992489
164	51.31714769
165	51.30182869
166	51.26773721
167	51.22471676
168	51.21807356
169	51.16935938
170	51.13154418
171	51.11178277
172	51.06053488
173	51.03594642
174	51.02280128
175	50.97324752
176	50.95289307
177	50.91670105
178	50.89041204
179	50.84542932
180	50.79392464
181	50.76622596
182	50.7183747
183	50.70139564
184	50.66891386
185	50.63718473
186	50.58504548
187	50.57526639
188	50.52546636
189	50.48799127
190	50.45367996
191	50.4160252
192	50.3746319
193	50.34242609
194	50.3007284
195	50.24775385
196	50.21612002
197	50.19288515
198	50.15007375
199	50.1138241
200	50.06811918
201	50.05780236
202	50.04904451
203	49.99645125
204	49.9603504
205	49.95235767
206	49.93843627
207	49.90696162
208	49.87397106
209	49.84479022
210	49.80686279
211	49.78757532
212	49.75387279
213	49.72176719
214	49.7128299
215	49.69186268
216	49.64552042
217	49.63677541
218	49.59070148
219	49.56140191
220	49.51498276
221	49.48966781
222	49.455966
223	49.42226709
224	49.40858691
225	49.36512683
226	49.32298756
227	49.27918361
228	49.2691357
229	49.24077765
230	49.19930124
231	49.17980557
232	49.13896227
233	49.12967547
234	49.10626681
235	49.0695485
236	49.03813845
237	49.00046442
238	48.96213419
239	48.92815939
240	48.88431989
241	48.84444746
242	48.80077575
243	48.77231069
244	48.73777877
245	48.70549
246	48.64454933
247	48.61294334
248	48.58756541
249	48.55814129
250	48.52954822
251	48.50736028
252	48.48042933
253	48.45054061
254	48.40060761
255	48.36981412
256	48.33515972
257	48.31077123
258	48.2910412
259	48.25180376
260	48.23395412
261	48.20071588
262	48.16810641
263	48.15778018
264	48.151101
265	48.13089747
266	48.12457865
267	48.07804903
268	48.0562778
269	48.04607957
270	48.0355753
271	48.0254361
272	48.00966871
273	47.97750151
274	47.94819816
275	47.92442972
276	47.90247771
277	47.89481759
278	47.82622637
279	47.81759896
280	47.80973431
281	47.79209331
282	47.75984413
283	47.72630794
284	47.69726541
285	47.66943924
286	47.64552195
287	47.60706443
288	47.57977103
289	47.57411699
290	47.56345255
291	47.49252318
292	47.46227343
293	47.45204413
294	47.43556553
295	47.41944226
296	47.3939049
297	47.34970679
298	47.28430391
299	47.27716487
300	47.27166009
301	47.25163851
302	47.24489092
303	47.2380549
304	47.20218003
305	47.18552162
306	47.12897257
307	47.11383807
308	47.09411854
309	47.07976633
310	47.06973721
311	47.06124561
312	47.05305526
313	47.02387209
314	46.9958766
315	46.96162659
316	46.92897929
317	46.89823662
318	46.89122019
319	46.87869947
320	46.84732659
321	46.82218821
322	46.79690785
323	46.78969564
324	46.74918764
325	46.73082909
326	46.6912968
327	46.66111587
328	46.65092059
329	46.63185322
330	46.60291229
331	46.5804207
332	46.54956577
333	46.50842643
334	46.50500283
335	46.49838757
336	46.47840399
337	46.473012
338	46.42877496
339	46.39370491
340	46.35190231
341	46.33089263
342	46.29577541
343	46.26072511
344	46.23778966
345	46.21851455
346	46.17911991
347	46.1567574
348	46.13478048
349	46.09770288
350	46.07894952
351	46.03881272
352	46.03528865
353	45.9982119
354	45.96788368
355	45.92124394
356	45.9096388
357	45.8810774
358	45.85341069
359	45.84728033
360	45.79798212
361	45.76232602
362	45.73700325
363	45.69090592
364	45.66507791
365	45.63911627
366	45.61740548
367	45.60118317
368	45.56135445
369	45.53037666
370	45.48246567
371	45.46677818
372	45.45187883
373	45.43976723
374	45.39611223
375	45.35913737
376	45.32537243
377	45.3083405
378	45.29654385
379	45.27697376
380	45.26398007
381	45.2492192
382	45.23343024
383	45.21560308
384	45.21197243
385	45.19260583
386	45.16057145
387	45.12069272
388	45.11753818
389	45.09295519
390	45.06909688
391	45.03717416
392	45.00676756
393	44.98285942
394	44.97986439
395	44.97489601
396	44.94576916
397	44.92139836
398	44.89452518
399	44.89231658
400	44.85822136
401	44.85431678
402	44.84923562
403	44.84518368
404	44.83073139
405	44.78845992
406	44.78613481
407	44.77767833
408	44.71353454
409	44.70677647
410	44.67768866
411	44.6373007
412	44.63142251
413	44.58862414
414	44.57823423
415	44.57089793
416	44.5572409
417	44.5366685
418	44.51444137
419	44.47784292
420	44.47276078
421	44.42031818
422	44.40718619
423	44.36077044
424	44.35617079
425	44.35178328
426	44.32476842
427	44.30359571
428	44.28024319
429	44.27487581
430	44.25657687
431	44.24280844
432	44.22497608
433	44.20697016
434	44.19193491
435	44.16349451
436	44.13702061
437	44.11826405
438	44.11601127
439	44.10570432
440	44.07267549
441	44.06202018
442	44.05000655
443	44.03919401
444	43.99683203
445	43.99236382
446	43.97834363
447	43.95342587
448	43.93243262
449	43.9132825
450	43.88998082
451	43.87371469
452	43.86805159
453	43.85194267
454	43.83791985
455	43.81749634
456	43.80483081
457	43.77448461
458	43.74767637
459	43.73586839
460	43.70740917
461	43.68491711
462	43.66126831
463	43.6458159
464	43.61118243
465	43.58697705
466	43.57185316
467	43.55852406
468	43.54568551
469	43.54527804
470	43.51917724
471	43.50404472
472	43.48100102
473	43.47249803
