,도로조건,계약면적(㎡),건축년도,year,month,coivd,price_per_m2,전월세구분_월세,전월세구분_전세
0,25,12.0,2016,2019,2,0,702.9166666666666,True,False
1,8,12.0,2016,2019,1,0,375.0,False,True
2,8,14.2,2016,2019,6,0,531.3380281690141,True,False
3,12,14.85,2019,2019,2,0,588.2154882154882,True,False
4,12,14.85,2019,2019,8,0,547.8787878787879,True,False
5,12,15.0,2008,2019,1,0,622.0,True,False
6,8,15.0,2015,2019,11,0,380.4,True,False
7,8,15.0,2015,2019,12,0,333.3333333333333,False,True
8,8,16.0,2016,2019,2,0,187.5,False,True
9,8,18.0,2018,2019,11,0,343.1111111111111,True,False
10,12,18.0,2015,2019,12,0,500.3333333333333,True,False
11,12,18.0,2018,2019,7,0,222.22222222222223,False,True
12,8,18.0,2016,2019,2,0,277.77777777777777,False,True
13,12,18.0,2019,2019,2,0,277.77777777777777,False,True
14,12,18.3,2009,2019,1,0,387.54098360655735,True,False
15,8,18.5,2019,2019,2,0,486.81081081081084,True,False
16,12,18.5,2011,2019,12,0,270.27027027027026,False,True
17,12,20.0,2002,2019,1,0,349.6,True,False
18,12,20.0,2018,2019,2,0,402.95,True,False
19,12,20.0,2018,2019,8,0,318.2,True,False
20,8,20.0,2012,2019,8,0,418.65,True,False
21,8,20.0,2018,2019,8,0,422.75,True,False
22,8,20.0,2017,2019,7,0,305.55,True,False
23,12,20.0,1989,2019,1,0,349.05,True,False
24,12,20.0,2006,2019,12,0,258.8,True,False
25,8,20.0,2016,2019,12,0,225.0,False,True
26,12,20.0,2014,2019,1,0,200.0,False,True
27,8,20.0,2015,2019,2,0,225.0,False,True
28,8,20.0,2016,2019,2,0,250.0,False,True
29,8,20.0,2019,2019,8,0,250.0,False,True
30,8,20.0,2019,2019,12,0,250.0,False,True
31,12,20.0,2015,2019,11,0,175.0,False,True
32,8,20.0,2014,2019,12,0,200.0,False,True
33,8,20.0,2014,2019,12,0,200.0,False,True
34,12,20.0,2014,2019,8,0,150.0,False,True
35,8,20.0,2019,2019,11,0,250.0,False,True
36,12,20.1,2014,2019,2,0,234.12935323383084,True,False
37,12,20.1,2014,2019,7,0,248.75621890547262,False,True
38,12,20.3,2011,2019,12,0,221.67487684729062,False,True
39,12,20.3,2010,2019,11,0,246.30541871921181,False,True
40,12,20.83,1989,2019,1,0,313.39414306289007,True,False
41,12,21.0,2007,2019,1,0,445.57142857142856,True,False
42,12,21.0,2008,2019,6,0,445.57142857142856,True,False
43,12,21.0,2009,2019,2,0,406.42857142857144,True,False
44,8,22.0,1989,2019,1,0,233.27272727272728,True,False
45,8,22.0,2012,2019,12,0,429.1363636363636,True,False
46,12,22.5,2007,2019,2,0,265.8666666666667,True,False
47,12,23.0,2011,2019,12,0,258.30434782608694,True,False
48,8,23.0,1989,2019,12,0,336.04347826086956,True,False
49,12,23.0,2011,2019,11,0,258.30434782608694,True,False
50,12,23.0,1989,2019,7,0,195.65217391304347,False,True
51,8,23.0,2016,2019,2,0,195.65217391304347,False,True
52,12,23.0,2011,2019,11,0,217.3913043478261,False,True
53,12,23.1,2014,2019,9,0,226.06060606060603,True,False
54,12,23.1,2014,2019,10,0,173.16017316017314,False,True
55,12,23.4,2018,2019,2,0,192.30769230769232,False,True
56,8,24.0,2017,2019,12,0,394.8333333333333,True,False
57,8,25.0,1989,2019,12,0,290.36,True,False
58,12,25.0,2012,2019,3,0,308.24,True,False
59,8,25.0,2014,2019,1,0,292.76,True,False
60,12,25.0,2007,2019,1,0,382.28,True,False
61,12,25.0,2007,2019,4,0,310.88,True,False
62,12,25.0,2008,2019,7,0,344.44,True,False
63,8,25.0,2008,2019,1,0,329.0,True,False
64,8,25.0,2016,2019,1,0,338.88,True,False
65,12,25.0,2010,2019,2,0,350.84,True,False
66,12,25.0,2011,2019,2,0,396.48,True,False
67,12,25.0,2006,2019,1,0,325.0,True,False
68,12,25.0,2010,2019,12,0,369.64,True,False
69,8,25.0,1991,2019,8,0,321.8,True,False
70,12,25.0,2008,2019,12,0,377.64,True,False
71,8,25.0,2013,2019,8,0,324.36,True,False
72,12,25.0,2006,2019,10,0,257.6,True,False
73,12,25.0,2010,2019,2,0,369.64,True,False
74,12,25.0,2018,2019,2,0,298.36,True,False
75,8,25.0,2009,2019,12,0,315.28,True,False
76,12,25.0,2012,2019,7,0,270.68,True,False
77,12,25.0,2010,2019,12,0,377.64,True,False
78,12,25.0,2011,2019,2,0,396.48,True,False
79,8,25.0,2008,2019,2,0,341.4,True,False
80,12,25.0,2015,2019,2,0,349.4,True,False
81,8,25.0,2013,2019,2,0,367.04,True,False
82,12,25.0,2007,2019,3,0,239.28,True,False
83,12,25.0,2007,2019,12,0,328.0,True,False
84,12,25.0,2006,2019,2,0,303.76,True,False
85,12,25.0,2010,2019,12,0,330.6,True,False
86,8,25.0,2011,2019,12,0,397.88,True,False
87,12,25.0,2010,2019,8,0,352.36,True,False
88,12,25.0,2014,2019,2,0,296.48,True,False
89,12,25.0,2006,2019,7,0,340.88,True,False
90,12,25.0,2015,2019,12,0,388.48,True,False
91,12,25.0,1988,2019,2,0,266.12,True,False
92,12,25.0,2007,2019,11,0,379.04,True,False
93,8,25.0,2008,2019,12,0,283.52,True,False
94,12,25.0,2010,2019,11,0,201.16,True,False
95,8,25.0,1987,2019,1,0,347.08,True,False
96,12,25.0,2006,2019,12,0,435.52,True,False
97,12,25.0,2012,2019,1,0,391.32,True,False
98,12,25.0,2008,2019,1,0,382.28,True,False
99,12,25.0,2007,2019,2,0,178.84,True,False
100,25,25.0,1990,2019,1,0,374.28,True,False
101,12,25.0,2011,2019,12,0,350.84,True,False
102,8,25.0,2002,2019,12,0,396.48,True,False
103,12,25.0,2014,2019,1,0,365.2,True,False
104,8,25.0,2015,2019,12,0,294.12,True,False
105,12,25.0,2019,2019,12,0,240.0,False,True
106,8,25.0,2019,2019,8,0,200.0,False,True
107,12,25.0,2017,2019,12,0,200.0,False,True
108,12,25.0,2009,2019,2,0,180.0,False,True
109,12,25.0,2007,2019,11,0,200.0,False,True
110,12,25.0,2019,2019,11,0,240.0,False,True
111,12,25.0,2010,2019,1,0,180.0,False,True
112,12,25.0,2017,2019,11,0,200.0,False,True
113,12,25.0,2017,2019,2,0,200.0,False,True
114,12,25.0,2017,2019,2,0,200.0,False,True
115,12,25.0,2017,2019,12,0,200.0,False,True
116,8,25.0,2018,2019,11,0,200.0,False,True
117,12,25.0,2014,2019,2,0,160.0,False,True
118,12,25.0,2017,2019,11,0,200.0,False,True
119,8,25.0,2019,2019,12,0,200.0,False,True
120,12,25.3,2009,2019,12,0,197.62845849802372,False,True
121,8,26.0,1989,2019,2,0,270.15384615384613,True,False
122,12,26.0,2007,2019,12,0,381.2307692307692,True,False
123,25,26.0,2013,2019,2,0,296.38461538461536,True,False
124,8,26.0,2016,2019,2,0,192.30769230769232,False,True
125,12,26.4,1988,2019,2,0,235.53030303030303,True,False
126,12,26.4,2012,2019,12,0,393.25757575757575,True,False
127,8,26.4,1988,2019,2,0,257.1212121212121,True,False
128,8,26.45,2012,2019,12,0,367.1833648393195,True,False
129,12,27.0,2007,2019,4,0,260.81481481481484,True,False
130,12,28.0,2007,2019,6,0,325.14285714285717,True,False
131,8,28.0,1989,2019,2,0,276.0357142857143,True,False
132,12,28.0,1989,2019,12,0,219.53571428571428,True,False
133,8,28.0,2013,2019,1,0,325.14285714285717,True,False
134,8,28.3,1997,2019,11,0,339.6466431095406,True,False
135,8,28.3,1997,2019,11,0,339.6466431095406,True,False
136,12,28.4,2008,2019,2,0,415.2816901408451,True,False
137,8,29.0,2016,2019,2,0,254.55172413793105,True,False
138,8,29.0,1987,2019,12,0,234.06896551724137,True,False
139,8,29.0,2016,2019,12,0,155.17241379310346,False,True
140,12,30.0,2007,2019,6,0,217.93333333333334,True,False
141,12,30.0,2006,2019,1,0,284.26666666666665,True,False
142,12,30.0,2017,2019,7,0,284.06666666666666,True,False
143,12,30.0,2010,2019,12,0,487.26666666666665,True,False
144,8,30.0,2011,2019,8,0,257.26666666666665,True,False
145,12,30.0,2007,2019,12,0,315.8666666666667,True,False
146,12,30.0,2007,2019,12,0,315.8666666666667,True,False
147,8,30.0,2018,2019,12,0,329.4,True,False
148,12,30.0,2007,2019,11,0,262.73333333333335,True,False
149,8,30.0,1989,2019,12,0,249.8,True,False
150,12,30.0,2008,2019,2,0,291.1666666666667,True,False
151,12,30.0,2011,2019,11,0,223.53333333333333,True,False
152,25,30.0,1990,2019,1,0,311.9,True,False
153,8,30.0,2012,2019,1,0,311.9,True,False
154,12,30.0,2010,2019,8,0,256.6666666666667,True,False
155,8,30.0,2013,2019,2,0,246.46666666666667,True,False
156,12,30.0,2007,2019,12,0,346.06666666666666,True,False
157,8,30.0,2017,2019,1,0,289.23333333333335,True,False
158,12,30.0,2019,2019,3,0,233.33333333333334,False,True
159,8,30.0,2018,2019,10,0,200.0,False,True
160,8,30.0,2017,2019,11,0,166.66666666666666,False,True
161,8,30.0,2018,2019,10,0,200.0,False,True
162,12,30.0,2011,2019,11,0,166.66666666666666,False,True
163,8,30.0,2013,2019,12,0,166.66666666666666,False,True
164,12,31.0,1996,2019,1,0,262.0967741935484,True,False
165,12,31.7,1988,2019,2,0,209.87381703470032,True,False
166,12,32.3,2018,2019,9,0,222.5696594427245,True,False
167,12,33.0,2014,2019,2,0,141.6969696969697,True,False
168,12,33.0,2007,2019,2,0,300.3636363636364,True,False
169,12,33.0,2008,2019,1,0,269.8181818181818,True,False
170,12,33.0,2006,2019,8,0,280.1515151515151,True,False
171,12,33.0,2006,2019,8,0,280.1515151515151,True,False
172,12,33.0,2007,2019,12,0,287.1515151515151,True,False
173,12,33.0,2009,2019,2,0,286.09090909090907,True,False
174,12,33.0,2012,2019,12,0,286.09090909090907,True,False
175,12,33.0,2010,2019,10,0,251.27272727272728,True,False
176,8,33.0,2012,2019,12,0,280.030303030303,True,False
177,12,33.0,2006,2019,12,0,314.6060606060606,True,False
178,12,33.0,2006,2019,12,0,314.6060606060606,True,False
179,8,33.0,2003,2019,12,0,215.72727272727272,True,False
180,12,33.0,2014,2019,7,0,121.21212121212122,False,True
181,12,35.56,2014,2019,2,0,140.607424071991,False,True
182,12,39.6,2009,2019,9,0,101.01010101010101,False,True
183,12,40.0,2011,2019,1,0,228.3,True,False
184,12,42.9,2008,2019,12,0,324.965034965035,True,False
185,12,42.9,2008,2019,1,0,302.14452214452217,True,False
186,25,45.0,1989,2019,12,0,133.33333333333334,False,True
187,12,48.0,2007,2019,12,0,135.41666666666666,False,True
188,12,48.0,2007,2019,1,0,135.41666666666666,False,True
189,12,50.0,2007,2019,11,0,197.64,True,False
190,12,50.0,2011,2019,1,0,149.62,True,False
191,12,50.0,2007,2019,12,0,190.58,True,False
192,12,50.0,2011,2019,12,0,160.0,False,True
193,12,53.33,1973,2019,3,0,163.24770298143633,True,False
194,12,55.0,2008,2019,6,0,214.92727272727274,True,False
195,12,59.0,2016,2019,11,0,169.4915254237288,False,True
196,8,59.4,2018,2019,12,0,254.006734006734,True,False
197,8,65.0,2015,2019,2,0,226.24615384615385,True,False
198,12,65.1,2007,2019,1,0,241.42857142857144,True,False
199,12,66.0,2011,2019,2,0,147.06060606060606,True,False
200,8,69.8,2016,2019,11,0,200.5730659025788,True,False
201,12,70.0,2007,2019,12,0,145.37142857142857,True,False
202,12,95.08,2006,2019,7,0,161.2641985696256,True,False
203,12,100.96,2007,2019,7,0,118.85895404120444,False,True
204,8,102.36,2005,2019,7,0,106.37944509574052,True,False
205,8,115.0,2018,2019,3,0,126.3391304347826,True,False
206,12,128.4,2006,2019,12,0,62.76479750778816,True,False
207,8,40.0,2019,2019,6,0,233.5,True,False
208,8,40.0,1973,2019,12,0,125.0,False,True
209,8,41.19,1971,2019,12,0,162.8065064336004,True,False
210,12,46.0,1979,2019,1,0,43.47826086956522,False,True
211,8,46.2,2019,2019,7,0,190.0,True,False
