"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220101 ~ 20221130"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금 (만원)","종전계약 월세 (만원)"
"경상남도 진주시 가좌동","1***","8m미만","12","월세","202202","25","300","30","2017","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","12","전세","202202","11","5,000","0","2017","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","13.2","월세","202201","16","300","30","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","13.22","월세","202201","6","200","30","1996","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","14","월세","202202","19","300","30","2018","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","15","월세","202202","6","300","30","2017","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","25m이상","15","월세","202202","13","200","25","2013","진주대로","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","15","월세","202201","13","300","30","2016","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","25m미만","15","월세","202202","15","300","29","2015","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","15","월세","202202","19","200","26","1990","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","15","월세","202202","23","300","30","2019","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","25m미만","15","월세","202202","25","100","29","2015","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","15","월세","202202","26","200","30","2018","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","25m미만","15","월세","202202","26","1,000","25","2015","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","15","월세","202202","27","300","30","2016","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","15","전세","202208","11","4,000","0","2016","가좌길78번길","-","-","-","",""
"경상남도 진주시 가좌동","7**","-","16","월세","202201","6","300","30","2020","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","25m미만","16","월세","202202","19","200","30","2015","가좌길74번길","-","-","-","",""
"경상남도 진주시 가좌동","8**","25m미만","16.5","월세","202201","4","300","30","2022","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","17","월세","202202","20","200","28","2016","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","17","월세","202210","31","200","26","2016","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","17","전세","202201","7","4,500","0","2016","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","18","월세","202202","6","300","30","2008","가좌안골길24번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","18","월세","202202","7","200","30","2016","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","18","월세","202201","17","300","30","1991","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","18","월세","202201","21","300","30","2020","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","18","월세","202208","23","200","30","2017","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","18","월세","202201","28","500","35","2007","진주대로500번길","-","-","-","",""
