iter	RMSE
0	2228.467101
1	2193.687082
2	2163.262396
3	2132.253231
4	2105.135727
5	2076.768919
6	2050.356691
7	2025.532417
8	2000.937715
9	1979.11338
10	1957.889852
11	1938.063271
12	1920.218232
13	1901.852485
14	1885.938716
15	1871.812441
16	1857.301587
17	1844.486707
18	1832.253827
19	1818.683153
20	1806.384305
21	1797.106101
22	1786.736488
23	1776.810955
24	1767.039095
25	1756.893158
26	1749.683166
27	1742.133973
28	1732.843968
29	1727.609745
30	1720.836379
31	1714.310581
32	1708.350312
33	1702.206602
34	1696.201349
35	1689.149502
36	1683.052148
37	1677.710062
38	1671.565947
39	1665.291482
40	1661.36779
41	1656.757582
42	1652.242881
43	1647.703414
44	1643.083333
45	1640.181928
46	1636.778896
47	1632.298012
48	1628.62007
49	1625.640111
50	1622.520229
51	1618.606029
52	1614.925216
53	1612.444059
54	1608.286861
55	1605.601953
56	1602.897476
57	1600.864658
58	1598.159714
59	1596.16086
60	1593.850415
61	1591.299853
62	1588.87462
63	1586.577432
64	1583.542346
65	1581.508393
66	1579.245231
67	1577.193021
68	1575.416043
69	1572.95111
70	1571.335424
71	1570.349129
72	1568.187824
73	1565.680019
74	1563.892643
75	1561.686503
76	1560.079737
77	1558.54375
78	1557.371539
79	1555.988634
80	1554.324625
81	1553.611491
82	1552.010963
83	1551.105698
84	1549.803567
85	1548.745653
86	1546.360271
87	1544.615766
88	1543.899115
89	1542.61867
90	1541.574437
91	1539.915238
92	1539.131285
93	1538.84956
94	1537.980926
95	1536.659725
96	1535.095527
97	1533.775003
98	1532.776951
99	1531.180045
100	1530.482407
101	1528.821242
102	1526.753225
103	1525.638752
104	1524.493179
105	1522.585515
106	1520.797729
107	1519.0962
108	1518.298411
109	1516.717679
110	1515.375989
111	1514.059258
112	1513.11925
113	1511.639432
114	1510.970598
115	1509.716406
116	1509.195955
117	1509.014061
118	1508.013021
119	1507.511175
120	1506.986185
121	1505.64454
122	1505.028337
123	1503.586513
124	1502.898823
125	1501.914986
126	1500.370991
127	1499.10092
128	1498.422955
129	1498.197355
130	1497.562146
131	1496.030981
132	1494.866493
133	1494.371763
134	1493.245612
135	1492.32033
136	1491.518466
137	1490.996082
138	1489.558385
139	1487.593188
140	1486.463763
141	1485.837804
142	1484.815762
143	1484.111151
144	1483.509526
145	1482.272909
146	1481.287883
147	1480.195231
148	1479.892043
149	1479.584323
150	1478.172857
151	1477.282333
152	1476.905176
153	1476.069379
154	1475.873592
155	1475.712335
156	1475.4553
157	1474.435224
158	1473.489629
159	1472.72688
160	1471.716592
161	1471.152896
162	1469.987637
163	1468.778836
164	1467.180666
165	1466.155435
166	1465.358157
167	1464.317581
168	1463.259311
169	1461.816366
170	1460.923814
171	1460.135485
172	1459.170311
173	1458.908284
174	1458.183722
175	1457.432347
176	1457.25367
177	1455.896695
178	1455.616661
179	1455.330951
180	1454.036058
181	1453.79288
182	1453.126584
183	1452.580643
184	1452.400049
185	1451.831611
186	1450.302945
187	1448.491675
188	1447.595022
189	1445.704332
190	1444.167851
191	1444.01933
192	1443.587761
193	1442.954923
194	1442.770358
195	1442.405162
196	1442.207724
197	1441.841061
198	1441.175362
199	1440.70511
200	1439.956948
201	1438.504409
202	1438.325967
203	1438.101786
204	1437.394983
205	1437.131791
206	1435.741904
207	1435.489354
208	1434.281752
209	1434.160435
210	1433.957405
211	1433.838278
212	1433.622835
213	1432.844327
214	1432.532756
215	1432.135051
216	1431.892324
217	1430.687289
218	1430.559653
219	1430.27127
220	1429.590847
221	1429.370718
222	1429.223339
223	1428.654766
224	1428.520448
225	1427.946282
226	1427.468824
227	1427.034974
228	1426.729259
229	1426.535731
230	1426.415256
231	1426.040937
232	1425.928341
233	1425.481956
234	1425.320854
235	1425.195766
236	1424.926636
237	1424.686751
238	1424.579485
239	1424.491584
240	1424.220871
241	1423.480796
242	1421.113724
243	1420.500466
244	1420.389026
245	1419.077538
246	1418.960461
247	1418.862465
248	1417.712829
249	1417.616641
250	1417.554398
251	1416.523646
252	1415.729937
253	1415.637698
254	1414.377174
255	1413.186517
256	1413.022328
257	1412.433101
258	1411.936594
259	1410.796111
260	1410.350688
261	1409.779372
262	1408.512429
263	1408.455759
264	1407.473649
265	1407.08426
266	1406.445864
267	1404.722854
268	1404.295811
269	1404.230982
270	1403.4401
271	1403.260106
272	1402.846399
273	1402.039046
274	1401.960324
275	1401.79531
276	1400.738165
277	1400.663023
278	1400.069635
279	1399.98448
280	1399.790062
281	1398.930016
282	1397.543151
283	1396.953153
284	1396.501582
285	1393.936843
286	1392.876293
287	1392.806193
288	1391.591581
289	1390.933705
290	1390.079665
291	1389.202588
292	1388.306807
293	1387.86553
294	1387.315047
295	1385.557951
296	1384.4838
297	1382.92937
298	1382.381978
299	1381.879432
300	1381.180413
301	1379.654818
302	1378.959923
303	1378.265459
304	1378.221693
305	1376.552121
306	1376.498446
307	1375.673313
308	1374.632691
309	1373.841053
310	1373.330785
311	1372.337638
312	1371.587664
313	1370.712348
314	1369.771169
315	1369.293447
316	1367.974343
317	1367.908631
318	1367.55708
319	1366.784493
320	1366.388013
321	1366.237244
322	1364.215061
323	1362.342683
324	1361.39769
325	1360.810907
326	1359.677296
327	1358.387706
328	1357.710942
329	1356.662989
330	1356.088998
331	1355.70979
332	1355.246688
333	1354.674164
334	1353.548891
335	1353.483644
336	1352.013833
337	1350.492564
338	1349.677773
339	1349.269872
340	1348.844022
341	1348.324018
342	1347.908628
343	1347.297987
344	1345.765679
345	1345.215355
346	1345.0249
347	1344.117378
348	1343.679827
349	1343.1448
350	1342.62584
351	1341.82212
352	1341.758011
353	1340.51037
354	1339.368126
355	1338.702711
356	1338.171785
357	1336.622776
358	1335.686841
359	1334.519252
360	1333.691604
361	1332.91883
362	1332.287841
363	1332.230059
364	1331.786479
365	1330.90732
366	1330.234187
367	1329.352278
368	1328.542442
369	1328.504615
370	1328.337876
371	1327.852474
372	1326.960862
373	1326.709867
374	1326.672899
375	1326.080112
376	1325.667458
377	1324.849197
378	1324.79155
379	1324.356548
380	1323.107323
381	1322.57588
382	1321.873896
383	1321.839144
384	1321.209383
385	1321.065625
386	1320.624069
387	1320.255106
388	1319.967312
389	1319.331072
390	1319.299506
391	1317.699126
392	1316.980113
393	1316.230366
394	1316.057647
395	1315.272459
396	1315.222111
397	1314.957502
398	1314.535797
399	1313.274999
400	1312.206766
401	1311.613925
402	1310.768364
403	1310.643894
404	1310.160535
405	1309.388508
406	1308.582838
407	1307.444387
408	1307.388749
409	1306.122587
410	1305.608157
411	1304.313148
412	1303.181913
413	1302.269762
414	1302.054234
415	1301.572739
416	1301.118007
417	1300.509619
418	1300.482715
419	1299.768382
420	1298.635457
421	1298.040813
422	1297.595237
423	1296.565469
424	1296.104649
425	1295.720671
426	1295.212651
427	1295.025881
428	1293.42178
429	1292.936754
430	1292.646663
431	1292.472801
432	1292.436933
433	1292.265218
434	1291.673885
435	1291.185314
436	1289.267484
437	1288.784041
438	1287.500555
439	1286.54908
440	1286.504655
441	1285.988398
442	1285.568425
443	1285.42305
444	1285.394113
445	1284.721562
446	1284.683644
447	1284.192232
448	1283.915742
449	1283.872459
450	1283.341135
451	1282.555908
452	1282.506476
453	1282.470648
454	1282.019311
455	1281.618698
456	1281.16017
457	1280.977919
458	1280.601602
459	1279.636192
460	1278.610202
461	1278.579952
462	1278.067486
463	1277.718666
464	1277.568035
465	1276.611821
466	1275.78903
467	1275.210468
468	1274.018059
469	1273.761823
470	1272.90652
471	1271.919359
472	1270.986262
473	1270.228783
474	1269.810608
475	1269.7149
476	1269.589901
477	1269.056563
478	1268.965798
479	1268.524594
480	1268.12376
