iter	Passed	Remaining
0	3	3437
1	3	1967
2	4	1455
3	4	1197
4	5	1042
5	5	927
6	5	844
7	6	782
8	6	731
9	6	692
10	7	661
11	8	682
12	8	656
13	9	643
14	9	630
15	10	620
16	10	607
17	10	594
18	11	586
19	11	571
20	11	558
21	12	556
22	13	552
23	13	546
24	13	539
25	15	563
26	15	554
27	15	545
28	16	537
29	16	529
30	16	522
31	17	521
32	17	516
33	17	509
34	18	502
35	18	496
36	18	491
37	19	487
38	19	481
39	19	479
40	20	476
41	20	471
42	21	468
43	21	465
44	21	463
45	22	459
46	22	457
47	23	458
48	23	455
49	23	454
50	24	454
51	24	452
52	25	451
53	25	451
54	26	449
55	26	445
56	26	445
57	27	448
58	28	450
59	28	448
60	29	448
61	29	447
62	29	445
63	30	442
64	30	441
65	31	442
66	31	440
67	32	439
68	32	437
69	32	435
70	33	435
71	33	433
72	34	442
73	35	443
74	35	440
75	36	438
76	36	438
77	36	437
78	37	437
79	37	435
80	38	436
81	38	434
82	39	433
83	39	432
84	40	431
85	40	430
86	41	431
87	41	429
88	41	429
89	42	429
90	42	425
91	43	424
92	43	422
93	43	421
94	44	419
95	44	419
96	45	420
97	45	418
98	45	417
99	46	418
100	46	416
101	47	415
102	47	414
103	48	414
104	48	413
105	48	412
106	49	412
107	49	412
108	50	411
109	50	410
110	51	410
111	51	409
112	52	408
113	52	408
114	52	406
115	53	405
116	53	404
117	54	403
118	54	402
119	54	402
120	55	401
121	55	400
122	55	398
123	56	397
124	56	396
125	57	397
126	57	397
127	58	396
128	58	397
129	59	396
130	59	396
131	60	396
132	60	395
133	61	396
134	62	397
135	62	396
136	62	396
137	63	395
138	63	394
139	63	392
140	64	391
141	64	389
142	64	388
143	65	387
144	65	386
145	65	384
146	66	383
147	66	383
148	66	382
149	67	382
150	68	387
151	69	387
152	69	386
153	70	386
154	71	387
155	71	387
156	72	387
157	72	386
158	72	385
159	73	385
160	74	386
161	74	385
162	74	384
163	75	383
164	75	382
165	76	381
166	76	381
167	76	380
168	77	378
169	77	378
170	78	378
171	79	381
172	79	380
173	80	379
174	80	379
175	80	378
176	81	377
177	81	376
178	82	376
179	82	375
180	82	374
181	83	373
182	83	373
183	84	372
184	84	371
185	84	371
186	85	370
187	85	370
188	86	369
189	86	368
190	86	368
191	87	367
192	87	366
193	88	366
194	88	365
195	89	365
196	89	364
197	89	363
198	90	362
199	90	361
200	90	360
201	91	360
202	91	359
203	92	359
204	92	359
205	93	358
206	93	358
207	94	358
208	94	359
209	95	358
210	95	358
211	96	357
212	96	357
213	97	357
214	97	356
215	98	356
216	98	356
217	99	355
218	99	355
219	100	354
220	100	353
221	100	352
222	101	354
223	102	353
224	102	353
225	103	352
226	103	352
227	103	351
228	104	351
229	104	350
230	105	350
231	105	350
232	106	349
233	106	349
234	107	348
235	107	348
236	107	347
237	108	346
238	108	346
239	109	346
240	109	345
