"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20121101 ~ 20131031"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 가좌동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금 (만원)","종전계약 월세 (만원)"
"경상남도 진주시 가좌동","4**","-","13","월세","201308","2","300","28","2006","진주대로516번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","13","월세","201309","6","300","28","2006","진주대로516번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","13","월세","201307","24","500","26","2006","진주대로516번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","13","월세","201307","26","300","28","2006","진주대로516번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","13","월세","201307","29","500","27","2006","진주대로516번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","15.35","전세","201303","6","4,000","0","2010","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","16","월세","201212","29","700","34","2011","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","16.5","월세","201301","15","500","40","2009","가좌안골길16번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","16.5","월세","201301","25","500","36","1990","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","16.5","월세","201301","27","2,000","8","2015","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","17.15","전세","201307","8","3,500","0","2018","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","19.21","전세","201302","21","3,000","0","1998","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","19.8","월세","201302","13","400","41","2008","개양로5번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","19.8","월세","201301","13","4,000","5","2008","가좌길29번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","19.8","월세","201308","18","500","40","2007","개양로13번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","19.8","월세","201301","26","500","40","2009","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","20","월세","201302","28","2,500","22","2009","진주대로542번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","20","전세","201301","1","4,000","0","2010","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","21","월세","201309","2","300","30","1997","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","21","월세","201308","8","3,000","3","2018","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","21","월세","201308","9","1,000","32","2011","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","21","월세","201308","15","5,000","2","2013","내동로320번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","21","월세","201302","20","2,000","10","1989","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","21","전세","201308","23","3,500","0","2009","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","22.1","월세","201301","21","1,500","32","2009","가좌안골길16번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","23","월세","201308","15","300","27","2006","진주대로516번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","23","월세","201212","20","300","37","2011","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","23","월세","201301","28","1,500","30","2008","개양로5번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","23","월세","201307","29","300","27","2006","진주대로516번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","23","전세","201212","24","3,000","0","2015","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","23.1","월세","201301","6","2,500","20","2009","가좌안골길16번길","-","-","-","",""
"경상남도 진주시 가좌동","7**","-","23.1","월세","201302","7","300","30","2011","진주대로647번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","23.1","월세","201301","12","3,000","10","2018","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","23.1","월세","201301","20","500","38","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","23.1","월세","201301","20","3,500","3","2009","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","23.1","월세","201302","22","500","40","2010","개양로13번길","-","-","-","",""
"경상남도 진주시 가좌동","7**","-","23.1","월세","201301","30","500","37","2011","진주대로647번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","23.1","전세","201301","28","3,300","0","2009","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","23.14","월세","201308","31","1,000","15","1987","가좌길84번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","24","월세","201309","1","50","42","2013","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","24","월세","201212","1","500","32","2005","진주대로","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","24","월세","201308","15","500","42","2013","내동로320번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","24.4","전세","201212","10","3,500","0","2018","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","25","월세","201303","9","500","42","2011","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","25","월세","201310","10","200","40","2012","가좌길29번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","25","월세","201308","26","500","40","2012","가좌길29번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","25","월세","201302","28","500","40","2012","가좌길78번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","26","월세","201302","2","500","40","2012","가좌길29번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","26","월세","201301","16","1,500","32","2011","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","26","월세","201301","22","4,500","6","2008","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","26","월세","201302","23","1,500","35","2010","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","26","전세","201212","23","4,500","0","2010","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","26.3","월세","201301","20","1,500","5","2006","가좌길29번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","26.4","월세","201301","5","2,000","15","2009","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","26.4","월세","201212","6","3,000","17","2009","가좌안골길16번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","26.4","월세","201301","8","1,000","37","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","26.4","월세","201301","12","500","40","2007","개양로13번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","26.4","월세","201302","13","500","42","2010","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","7**","-","26.4","월세","201301","19","500","35","2011","진주대로647번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","26.4","월세","201302","22","500","43","2007","가좌안골길16번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","26.4","월세","201302","25","500","42","2011","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","26.4","월세","201302","25","1,500","20","2010","개양로5번길","-","-","-","",""
"경상남도 진주시 가좌동","7**","-","26.4","월세","201301","26","1,000","30","2007","진주대로","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","26.4","월세","201301","31","2,000","27","2007","가좌안골길10번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","26.4","전세","201302","4","4,000","0","2010","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","26.45","월세","201302","4","500","25","2006","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","26.45","월세","201302","23","2,000","22","1989","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","27","월세","201301","20","1,000","35","2009","진주대로542번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","27.2","전세","201303","8","4,000","0","2010","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","28","월세","201302","16","500","20","2006","가좌길29번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","29","월세","201301","31","500","40","2008","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","30","월세","201310","1","300","28","2010","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","30","월세","201302","2","2,000","25","2008","개양로","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","30","월세","201310","11","4,500","2","2013","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","30","월세","201302","14","2,000","27","2011","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","30","월세","201302","25","500","41","2010","내동로348번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","30","전세","201302","21","3,500","0","2010","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","30","전세","201212","28","3,500","0","2010","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","30.3","월세","201212","18","2,000","10","1998","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","30.78","전세","201302","26","4,000","0","1989","가좌길74번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","33","월세","201303","1","300","39","2009","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","33","월세","201303","1","500","40","2010","개양로13번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","33","월세","201302","1","500","36","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","33","월세","201303","1","500","38","2010","개양로5번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","33","월세","201303","1","1,000","32","2009","개양로5번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","33","월세","201310","1","1,000","32","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","33","월세","201309","1","4,500","2","2013","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","33","월세","201308","2","500","43","2010","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","33","월세","201303","2","500","40","2009","진주대로542번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","33","월세","201309","2","500","42","2011","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","33","월세","201303","2","1,500","32","2009","진주대로542번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","33","월세","201302","5","500","41","2008","개양로5번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","33","월세","201301","5","500","42","2010","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","33","월세","201301","8","2,000","38","2011","진주대로568번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","-","33","월세","201306","9","300","32","2002","진주대로","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","33","월세","201301","9","4,000","10","2011","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","33","월세","201302","10","4,000","10","2009","진주대로542번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","33","월세","201308","11","1,000","23","1987","가좌길60번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","33","월세","201308","11","1,000","35","2009","진주대로568번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","33","월세","201308","11","1,000","25","2011","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","-","33","월세","201308","12","500","38","2011","진주대로","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","33","월세","201301","13","500","40","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","33","월세","201302","13","500","42","2011","가좌안골길16번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","33","월세","201306","13","1,000","35","2007","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","33","월세","201308","13","3,000","10","2011","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","33","월세","201302","14","500","38","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","33","월세","201309","14","1,000","34","2013","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","25m미만","33","월세","201309","14","4,000","10","2013","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","33","월세","201301","15","0","37","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","33","월세","201212","15","500","36","2008","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","33","월세","201307","15","1,000","35","2010","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","33","월세","201302","16","500","36","2007","진주대로500번길","-","-","-","",""
