"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20161101 ~ 20171031"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 호탄동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금 (만원)","종전계약 월세 (만원)"
"경상남도 진주시 호탄동","6**","8m미만","15","전세","201706","3","4,500","0","2008","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","16.52","월세","201706","20","200","23","2000","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","9**","25m미만","19.83","월세","201702","7","1,500","20","2012","강변길","-","-","-","",""
"경상남도 진주시 호탄동","9**","25m미만","19.83","월세","201702","21","300","33","2012","강변길","-","-","-","",""
"경상남도 진주시 호탄동","9**","25m미만","19.83","월세","201702","21","500","26","2012","강변길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","23","월세","201708","7","300","35","2011","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","5**","8m미만","23","월세","201703","25","500","30","2017","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","23.14","월세","201703","13","2,000","32","2016","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","9**","12m미만","23.14","전세","201707","7","6,000","0","2011","강변길10번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","23.28","전세","201701","16","3,500","0","2000","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","24.66","월세","201707","20","1,000","43","2016","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201701","2","3,500","5","2014","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201706","5","500","35","2010","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","25","월세","201709","9","200","95","2001","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201703","9","300","32","2004","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","9**","12m미만","25","월세","201701","13","500","30","2016","강변길10번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201708","22","1,000","33","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201704","22","2,000","28","2011","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","25","월세","201704","24","1,000","38","2016","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201708","26","2,500","15","2003","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","201703","29","3,000","28","2017","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","25.26","월세","201702","8","3,000","12","2002","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","25.27","월세","201702","6","3,500","13","2002","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25.48","월세","201612","18","1,000","40","2016","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26","월세","201611","9","1,000","27","2006","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26","월세","201701","9","1,000","27","2006","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","26","월세","201703","10","300","35","2014","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26","월세","201612","29","200","30","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26","전세","201611","25","4,500","0","2006","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26.4","월세","201708","29","2,500","15","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","26.44","월세","201703","1","500","31","2004","null","-","-","-","",""
