"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20161101 ~ 20171031"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 가좌동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금 (만원)","종전계약 월세 (만원)"
"경상남도 진주시 가좌동","1***","12m미만","13","전세","201702","20","3,000","0","1987","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","13.49","월세","201702","7","3,000","15","2014","가호로4번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","13.49","월세","201701","20","4,000","5","2014","가호로4번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","25m이상","14.5","월세","201702","1","100","28","1974","가좌길74번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","14.85","월세","201701","17","300","37","2015","가좌길60번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","15","월세","201702","10","500","35","2016","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","15","월세","201702","19","4,000","5","2016","가좌길78번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","15","월세","201701","21","3,000","12","2015","가호로4번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","15","월세","201702","21","4,500","5","2016","가좌길78번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","15","월세","201702","25","300","33","2014","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","15","전세","201702","17","4,500","0","2015","가좌길78번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","15","전세","201701","18","4,500","0","2015","가좌길78번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","15.39","전세","201702","13","3,000","0","1990","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","15.39","전세","201702","20","3,000","0","1990","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","16.5","월세","201702","10","500","34","1997","가좌길60번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","16.52","월세","201612","27","300","30","2014","가호로4번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","16.52","전세","201612","19","4,000","0","2014","가호로4번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","17","월세","201709","1","5,000","3","2017","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","17","월세","201709","7","5,000","3","2017","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","25m미만","17","전세","201612","4","5,000","0","2013","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","25m미만","17","전세","201703","10","4,500","0","2013","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","17","전세","201708","30","200","0","2008","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","17.43","월세","201702","5","300","30","null","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","18","월세","201702","2","500","38","2017","가좌길60번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","18","월세","201709","2","6,000","5","2017","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","18","월세","201702","3","1,000","35","2016","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","18","월세","201702","16","1,500","18","1987","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","18","월세","201701","24","1,000","32","2016","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","18","전세","201709","11","5,000","0","2017","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","18","전세","201708","31","5,000","0","2017","가좌길64번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","18.15","월세","201702","20","5,000","7","2017","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","18.18","월세","201702","15","300","36","2016","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","18.18","전세","201701","9","4,500","0","2012","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","19.8","월세","201701","7","500","36","2008","개양로13번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","19.8","월세","201705","13","300","30","2016","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","19.8","전세","201701","2","5,000","0","2016","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","20","월세","201703","1","3,000","14","2015","가호로4번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","20","월세","201612","1","3,500","7","2009","가좌안골길16번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201701","2","300","37","2015","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","20","월세","201611","2","4,000","2","2009","가좌안골길16번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201702","3","100","26","1989","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","8**","8m미만","20","월세","201702","3","500","38","2015","가좌길29번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","201707","4","5,000","5","2017","가좌길64번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201702","5","300","35","2014","가좌길60번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","20","월세","201703","5","4,000","5","2014","가호로4번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201709","5","5,000","3","2017","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","20","월세","201702","6","300","37","2006","진주대로568번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201611","6","300","35","2016","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201709","6","500","35","2017","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201709","6","5,000","3","2017","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201709","6","5,000","3","2017","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","20","월세","201702","7","2,000","21","2015","가호로4번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201703","8","300","36","2015","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","201701","8","4,000","19","2016","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201704","10","5,000","5","2017","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201704","11","5,000","5","2017","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201702","13","200","33","2015","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","201703","13","2,000","25","2017","가좌길64번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","201703","13","2,500","25","2017","가좌길64번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201703","13","5,000","5","2017","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","201703","14","300","38","2017","가좌길64번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201703","14","500","36","2017","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","25m미만","20","월세","201702","14","1,000","30","2015","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","201703","14","3,000","20","2017","가좌길64번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201702","15","300","32","2016","가좌길60번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","20","월세","201702","15","500","40","2010","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201701","15","4,500","5","2015","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201702","16","500","33","2016","가좌길60번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","201703","16","5,000","5","2017","가좌길64번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","20","월세","201707","17","2,000","27","2012","진주대로542번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","월세","201703","17","5,000","5","2017","가좌길64번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201702","19","200","30","2017","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201702","19","2,000","20","2011","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201702","19","4,000","3","2010","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","8**","8m미만","20","월세","201702","24","500","40","2015","가좌길29번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","20","월세","201701","25","500","38","2008","개양로","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","월세","201702","27","300","27","2017","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","20","월세","201710","27","4,000","5","2014","null","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","20","월세","201611","30","2,000","22","2015","가호로4번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","25m미만","20","월세","201701","31","1,000","33","1990","가좌길64번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","전세","201703","1","4,000","0","2014","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","20","전세","201611","2","4,000","0","2009","가좌안골길16번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","20","전세","201611","2","4,000","0","2009","가좌안골길16번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","전세","201709","2","5,000","0","2017","가좌길64번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","20","전세","201705","8","5,000","0","2016","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","전세","201701","14","4,500","0","2014","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","전세","201702","27","4,000","0","2014","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","20","전세","201702","28","4,500","0","2014","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","20.52","월세","201702","2","4,000","10","1989","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","21","월세","201709","4","5,000","3","2017","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","21","월세","201702","17","200","35","2007","내동로348번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","21","월세","201706","25","300","40","2007","진주대로568번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","21","월세","201701","31","200","32","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","25m미만","21","월세","201612","31","4,500","3","2013","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","21","전세","201707","4","4,500","0","2010","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","21","전세","201702","22","4,500","0","null","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","21","전세","201701","25","4,500","0","2011","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","22","월세","201708","10","500","40","2012","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","22","전세","201702","23","4,000","0","2010","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","22.2","월세","201612","20","731","5","2007","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","23","월세","201702","2","4,000","15","2014","가좌길60번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","23","월세","201702","6","500","35","2009","진주대로568번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","23","월세","201707","9","2,000","25","2012","null","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","23","월세","201701","18","300","38","2008","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","23","월세","201702","18","4,000","10","2013","가좌길64번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","23","월세","201611","19","500","37","2013","가좌길64번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","23","월세","201709","22","300","32","1987","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","23","월세","201612","28","100","20","1987","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","23","전세","201703","6","5,000","0","2014","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","23","전세","201710","19","4,000","0","2014","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","23","전세","201612","20","4,000","0","2010","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","23","전세","201702","23","3,000","0","2010","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","23.08","월세","201702","3","5,000","20","1996","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","23.1","월세","201701","1","0","35","2007","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","23.1","월세","201702","25","300","32","2015","가호로4번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","23.1","월세","201612","27","4,000","5","2014","가호로4번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","23.1","전세","201611","10","4,000","0","2014","가호로4번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","23.1","전세","201702","23","1,500","0","2010","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","23.1","전세","201701","23","3,000","0","2010","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","23.14","전세","201701","8","4,000","0","2007","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","23.14","전세","201702","24","3,500","0","2010","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","23.79","월세","201702","8","3,500","10","2010","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","23.79","월세","201702","14","4,000","5","2010","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","-","23.79","월세","201702","16","2,300","22","2010","null","-","-","-","",""
"경상남도 진주시 가좌동","5**","-","23.87","월세","201612","29","4,500","12","2007","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","24","월세","201701","14","300","32","1987","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","24","월세","201707","16","100","28","2007","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","24","월세","201706","30","500","39","2011","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","24","전세","201701","15","4,000","0","2015","가좌길78번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","24","전세","201702","26","4,000","0","2015","가좌길78번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","24.24","월세","201612","20","500","35","2010","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","-","24.51","월세","201701","10","5,000","15","2007","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","24.75","월세","201702","10","300","32","1989","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","25","월세","201703","1","300","38","2006","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","25","월세","201702","1","500","40","1989","가좌길84번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","25","월세","201611","1","3,500","4","2016","진주대로","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","25","월세","201702","2","300","35","2012","진주대로568번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","25","월세","201701","2","300","18","2006","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","25","월세","201703","3","100","25","2017","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","25","월세","201701","4","200","38","2010","개양로","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","25","월세","201706","6","1,000","35","2007","개양로","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","25","월세","201703","8","100","28","2006","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","25","월세","201708","8","300","40","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","25","월세","201709","8","3,000","2","1990","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","25","월세","201709","9","300","35","1991","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","25","월세","201701","10","300","37","2007","진주대로542번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","25","월세","201611","10","1,000","30","2013","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","25","월세","201702","11","500","34","2009","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","25","월세","201701","12","300","40","2011","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","25","월세","201702","12","3,000","2","1990","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","25","월세","201702","14","200","36","2011","내동로348번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","25","월세","201701","14","300","38","2011","가좌안골길14번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","25","월세","201702","14","500","38","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","25","월세","201612","14","4,000","7","1989","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","25","월세","201708","15","100","27","1990","가좌길48번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","25","월세","201701","15","300","28","1989","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","25","월세","201612","15","500","30","1986","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","25","월세","201707","16","300","39","2009","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","25","월세","201701","17","100","25","1987","가좌길36번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","12m미만","25","월세","201702","17","300","32","2002","진주대로","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","25","월세","201612","18","500","37","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","25","월세","201709","19","100","35","2006","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","25","월세","201707","20","500","40","2011","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","7**","8m미만","25","월세","201705","21","200","31","2006","진주대로","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","25","월세","201612","21","500","38","2008","내동로348번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","25","월세","201701","21","5,000","5","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","25","월세","201701","21","5,000","5","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","6**","8m미만","25","월세","201702","23","300","33","2014","가호로4번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","25","월세","201706","24","700","39","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","25","월세","201701","25","300","40","2012","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","25","월세","201701","25","1,000","35","2007","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","25m미만","25","월세","201702","25","3,000","10","2010","가좌길","-","-","-","",""
"경상남도 진주시 가좌동","1***","12m미만","25","월세","201702","26","100","30","2006","진주대로404번길","-","-","-","",""
"경상남도 진주시 가좌동","8**","8m미만","25","월세","201702","26","300","35","2015","가좌길29번길","-","-","-","",""
"경상남도 진주시 가좌동","5**","12m미만","25","월세","201708","26","500","39","2010","진주대로500번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","25","월세","201612","26","5,000","5","2009","진주대로542번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","25","월세","201708","27","300","35","2016","가좌길78번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","25","월세","201708","27","2,500","20","2017","가좌길40번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","25","월세","201709","28","500","37","1991","가좌길44번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","25","월세","201709","29","500","40","2011","진주대로542번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","25","월세","201709","29","4,000","20","2010","개양로6번길","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","25","월세","201710","30","5,000","5","1991","null","-","-","-","",""
"경상남도 진주시 가좌동","1***","8m미만","25","월세","201701","31","200","37","2012","가좌길78번길","-","-","-","",""
"경상남도 진주시 가좌동","4**","12m미만","25","월세","201707","31","300","35","2009","진주대로542번길","-","-","-","",""
