"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20191101 ~ 20201031"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 호탄동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금 (만원)","종전계약 월세 (만원)"
"경상남도 진주시 호탄동","5**","8m미만","15","월세","202002","29","200","32","2017","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","16","월세","202005","4","100","28","2014","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","18.84","전세","202002","25","2,500","0","2014","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","5**","8m미만","20","월세","201912","12","200","32","2017","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","5**","8m미만","20","월세","202002","13","500","30","2017","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","20","월세","202009","25","1,000","28","2011","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","20","전세","201911","13","2,000","0","2000","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","20","전세","202007","31","4,000","0","2000","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","23","월세","202002","20","500","30","2014","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","5**","8m미만","23","월세","201912","28","200","31","2017","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","5**","8m미만","23.1","월세","202001","4","300","33","2017","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","5**","8m미만","23.1","월세","202001","12","300","30","2017","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","5**","8m미만","23.1","월세","202002","16","300","31","2017","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","5**","8m미만","23.1","월세","202002","23","200","30","2017","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","5**","8m미만","23.1","월세","202002","28","300","30","2017","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","24","월세","202002","22","500","35","2017","호탄길10번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","24","월세","202006","25","300","22","2001","호탄길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","24","월세","201911","26","1,000","28","2014","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","24","전세","202001","11","5,000","0","2018","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","5**","8m미만","25","월세","202002","3","100","30","2017","가호로62번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","202010","7","10,000","10","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","25","월세","201911","9","300","30","2008","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","202005","9","500","30","2008","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","25","월세","202001","11","1,500","31","2016","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","202001","12","100","29","null","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","202002","14","300","28","2008","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","7**","25m미만","25","월세","202002","16","500","33","2015","가호방아길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","202004","16","3,000","17","2018","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","25","월세","202002","23","300","33","2008","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","9**","12m미만","25","월세","202002","25","2,500","17","2016","강변길10번길","-","-","-","",""
