"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20121101 ~ 20131101"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 가좌동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201211","6","11,700","14","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","41.3","201211","11","8,900","9","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201211","26","11,000","7","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201211","26","11,000","4","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201211","26","11,500","13","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201211","28","10,900","11","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201212","9","11,050","5","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","38.64","201212","14","8,420","8","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","41.3","201212","17","9,000","6","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201212","18","11,500","14","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","38.64","201212","27","8,300","10","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201301","7","11,000","8","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201301","8","10,600","5","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201301","14","10,000","1","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","41.3","201301","23","9,500","14","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","41.3","201301","26","8,900","14","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201301","28","11,300","6","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","41.3","201302","3","9,000","9","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201302","4","9,950","2","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","41.3","201302","20","8,400","15","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201302","26","11,000","12","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201302","26","11,350","11","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","44.94","201302","27","8,500","13","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201302","28","11,430","6","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201303","2","11,000","15","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201303","2","11,700","14","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","38.64","201303","6","8,100","12","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","38.64","201303","10","8,700","11","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","41.3","201303","15","8,900","5","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","38.64","201303","20","8,450","13","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201303","25","12,000","9","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","41.3","201303","27","9,400","2","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","44.94","201303","29","9,000","2","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201303","30","11,500","12","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201304","4","11,100","2","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","44.94","201304","9","9,500","3","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201304","16","11,780","5","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201304","22","11,000","7","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201304","23","11,000","9","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201304","25","11,900","10","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201304","28","10,830","4","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201304","28","11,500","7","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","41.3","201305","10","9,000","8","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","41.3","201305","17","9,450","14","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201306","3","11,000","7","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201306","16","11,400","4","1993","가호로 26","","-","-"
